Date,Open,High,Low,Close,Change %,Volume
"Feb. 08, 2023",415.05,416.46,411.88,412.57,-1.09%,"2,872,002"
"Feb. 07, 2023",410.77,418.43,409.53,417.12,1.29%,"5,584,762"
"Feb. 06, 2023",411.74,413.24,410.03,411.8,-0.62%,"2,578,974"
"Feb. 03, 2023",413.52,418.95,413.04,414.35,-1.03%,"4,385,968"
"Feb. 02, 2023",416.8,420.25,414.8,418.66,1.45%,"4,883,296"
"Feb. 01, 2023",407.1,415.59,404.22,412.67,1.07%,"5,194,565"
"Jan. 31, 2023",403,408.4,402.67,408.31,1.45%,"6,121,226"
"Jan. 30, 2023",404.66,407.02,402.2,402.47,-1.27%,"3,457,432"
